question,solution,final_answer
"A bacon cheeseburger at a popular fast food restaurant contains 2070 milligrams (mg) of sodium, which is 86% of the recommended daily amount. What is the total recommended daily amount of sodium, in milligrams?","Step 1: Identify the amount of sodium in the bacon cheeseburger, which is 2070 milligrams (mg).
Step 2: Understand that the sodium in the bacon cheeseburger is 86% of the recommended daily amount.
Step 3: Divide the amount of sodium in the bacon cheeseburger by 0.86 to find the recommended daily amount of sodium.
Step 4: The recommended daily amount of sodium is 2070 mg / 0.86 = 2406.98 mg.
Step 5: Round the recommended daily amount of sodium to the nearest whole number.
Step 6: The total recommended daily amount of sodium is approximately 2407 milligrams (mg).",2407
"After 3 months on a diet, Lisa had lost 12% of her original weight. She lost 21 pounds. What was Lisa¡¯s original weight, in pounds?","Step 1: Let's assume Lisa's original weight is represented by ""x"" pounds.
Step 2: According to the problem, Lisa lost 12% of her original weight, which is equal to 0.12x pounds.
Step 3: The problem states that Lisa lost 21 pounds, so we can set up the equation: 0.12x = 21.
Step 4: To solve for x, divide both sides of the equation by 0.12: x = 21 / 0.12.
Step 5: Simplify the right side of the equation: x = 175.
Step 6: Therefore, Lisa's original weight was 175 pounds.",175
Yuki bought a dress on sale for $72. The sale price was 60% of the original price. What was the original price of the dress?,"Step 1: Identify the sale price of the dress, which is $72.
Step 2: Understand that the sale price is 60% of the original price.
Step 3: Divide the sale price by 60% (or 0.6) to find the original price.
Step 4: $72 ¡Â 0.6 = $120.
Step 5: The original price of the dress was $120.",120
Tim left a $9 tip for a $50 restaurant bill. What percent tip did he leave?,"Solution:
Step 1: Identify the amount of the restaurant bill, which is $50.
Step 2: Identify the amount of the tip left by Tim, which is $9.
Step 3: Calculate the percentage of the tip by dividing the tip amount by the bill amount and multiplying by 100.
Step 4: The percentage tip left by Tim is ($9 / $50) * 100 = 18%.",18
"The nutrition fact sheet at a fast food restaurant says the fish sandwich has 380 calories, and 171 calories are from fat. What percent of the total calories is from fat?","Step 1: Identify the total number of calories in the fish sandwich, which is 380 calories.
Step 2: Determine the number of calories that come from fat, which is 171 calories.
Step 3: Divide the number of calories from fat by the total number of calories and multiply by 100 to find the percentage. 
Step 4: Calculate the percentage of calories from fat by (171 calories / 380 calories) * 100 = 45%. 
Therefore, 45% of the total calories in the fish sandwich come from fat.",45
"Emma gets paid $3,000 per month. She pays $750 a month for rent. What percent of her monthly pay goes to rent?","Step 1: Identify Emma's monthly income, which is $3,000.
Step 2: Determine the amount of money Emma pays for rent each month, which is $750.
Step 3: Divide the rent amount by Emma's monthly income: $750 / $3,000.
Step 4: Simplify the fraction: $750 / $3,000 = 1/4.
Step 5: Convert the fraction to a percentage by multiplying by 100: 1/4 * 100 = 25%.
Step 6: The percentage of Emma's monthly pay that goes to rent is 25%.",25
"Tamanika got a raise in her hourly pay, from $15.50 to $17.36. Find the percent increase.","Step 1: Identify the initial hourly pay, which is $15.50.
Step 2: Identify the new hourly pay, which is $17.36.
Step 3: Calculate the difference between the new and initial hourly pay: $17.36 - $15.50 = $1.86.
Step 4: Calculate the percent increase by dividing the difference by the initial hourly pay and multiplying by 100: ($1.86 / $15.50) * 100 = 12%. 
Step 5: The percent increase in Tamanika's hourly pay is 12%.",12
"Annual student fees at the University of California rose from about $4,000 in 2000 to about $12,000 in 2010. Find the percent increase.","Step 1: Identify the initial student fees in 2000, which is $4,000.
Step 2: Identify the final student fees in 2010, which is $12,000.
Step 3: Calculate the difference between the final and initial student fees: $12,000 - $4,000 = $8,000.
Step 4: Calculate the percent increase by dividing the difference by the initial student fees and multiplying by 100: ($8,000 / $4,000) * 100 = 200%.
Step 5: The percent increase in student fees from 2000 to 2010 is 200%.",200
A grocery store reduced the price of a loaf of bread from $2.80 to $2.73. Find the percent decrease.,"Step 1: Identify the original price of the loaf of bread, which is $2.80.
Step 2: Identify the new price of the loaf of bread, which is $2.73.
Step 3: Calculate the decrease in price by subtracting the new price from the original price: $2.80 - $2.73 = $0.07.
Step 4: Calculate the percent decrease by dividing the decrease in price by the original price and multiplying by 100: ($0.07 / $2.80) * 100 = 2.5%.
Step 5: The percent decrease in the price of the loaf of bread is 2.5%.",2.5
"Hernando¡¯s salary was $49,500 last year. This year his salary was cut to $44,055. Find the percent decrease.","Step 1: Identify Hernando's salary last year, which is $49,500.
Step 2: Identify Hernando's salary this year, which is $44,055.
Step 3: Calculate the decrease in salary by subtracting this year's salary from last year's salary: $49,500 - $44,055 = $5,445.
Step 4: Calculate the percent decrease by dividing the decrease in salary by last year's salary and multiplying by 100: ($5,445 / $49,500) * 100 = 10.99%.
Step 5: The percent decrease in Hernando's salary is approximately 10.99%.",11
"At the campus coffee cart, a medium coffee costs $1.65. MaryAnne brings $2.00 with her when she buys a cup of coffee and leaves the change as a tip. What percent tip does she leave?","Step 1: Identify the cost of a medium coffee at the campus coffee cart, which is $1.65.
Step 2: Determine the amount of money MaryAnne brings with her, which is $2.00.
Step 3: Calculate the change MaryAnne leaves as a tip by subtracting the cost of the coffee from the amount of money she brings: $2.00 - $1.65 = $0.35.
Step 4: Convert the change left as a tip to a percentage by dividing it by the cost of the coffee and multiplying by 100: ($0.35 / $1.65) * 100 = 21.21%.
Step 5: MaryAnne leaves a tip of approximately 21.21%.",21.2
"At a school concert, the total value of tickets sold was $1,506. Student tickets sold for $6 each and adult tickets sold for $9 each. The number of adult tickets sold was five less than three times the number of student tickets sold. How many student tickets were sold?","Step 1: Let's assume the number of student tickets sold as ""x"".
Step 2: According to the problem, the number of adult tickets sold is five less than three times the number of student tickets sold, which can be expressed as 3x - 5.
Step 3: The total value of tickets sold is $1,506, so we can set up the equation 6x + 9(3x - 5) = 1506.
Step 4: Simplify the equation: 6x + 27x - 45 = 1506.
Step 5: Combine like terms: 33x - 45 = 1506.
Step 6: Add 45 to both sides of the equation: 33x = 1551.
Step 7: Divide both sides of the equation by 33: x = 47.
Step 8: Therefore, 47 student tickets were sold.",47
"Galen sold 810 tickets for his church¡¯s carnival for a total of $2,820. Children¡¯s tickets cost $3 each and adult tickets cost $5 each. How many children¡¯s tickets did he sell?","Step 1: Let's assume the number of children's tickets sold as ""x"".
Step 2: The number of adult tickets sold can be calculated as ""810 - x"" since the total number of tickets sold is 810.
Step 3: The total revenue from children's tickets can be calculated as ""3x"" since each children's ticket costs $3.
Step 4: The total revenue from adult tickets can be calculated as ""5(810 - x)"" since each adult ticket costs $5.
Step 5: The total revenue from all tickets can be calculated as ""$2820"" since the total revenue is given as $2820.
Step 6: Set up the equation ""3x + 5(810 - x) = 2820"" to represent the total revenue equation.
Step 7: Simplify the equation by distributing the 5: ""3x + 4050 - 5x = 2820"".
Step 8: Combine like terms: ""-2x + 4050 = 2820"".
Step 9: Subtract 4050 from both sides of the equation: ""-2x = -1230"".
Step 10: Divide both sides of the equation by -2: ""x = 615"".
Step 11: Therefore, Galen sold 615 children's tickets.",615
Monica paid $8.36 for stamps. The number of 41-cent stamps was four more than twice the number of two-cent stamps. How many 41-cent stamps did Monica buy?,"Step 1: Let's assume the number of two-cent stamps Monica bought is x.
Step 2: According to the problem, the number of 41-cent stamps is four more than twice the number of two-cent stamps, which can be expressed as 2x + 4.
Step 3: The value of each two-cent stamp is $0.02, so the total cost of the two-cent stamps is 0.02x dollars.
Step 4: The value of each 41-cent stamp is $0.41, so the total cost of the 41-cent stamps is 0.41(2x + 4) dollars.
Step 5: The total cost of all the stamps is $8.36, so we can set up the equation 0.02x + 0.41(2x + 4) = 8.36.
Step 6: Simplify the equation by distributing 0.41 to 2x and 4: 0.02x + 0.82x + 1.64 = 8.36.
Step 7: Combine like terms: 0.84x + 1.64 = 8.36.
Step 8: Subtract 1.64 from both sides of the equation: 0.84x = 6.72.
Step 9: Divide both sides of the equation by 0.84 to solve for x: x = 8.
Step 10: Therefore, Monica bought 8 two-cent stamps.
Step 11: To find the number of 41-cent stamps, substitute the value of x into the expression 2x + 4: 2(8) + 4 = 16 + 4 = 20.
Step 12: Monica bought 20 41-cent stamps.",20
